nct_id,title,official_title,status,start_date,completion_date,primary_completion_date,phase,enrollment,study_type,allocation,intervention_model,primary_purpose,masking,conditions,intervention_types,intervention_names,sponsor,sponsor_type,has_results,num_outcome_measures,num_primary_outcomes,num_secondary_outcomes,primary_outcome_titles,primary_outcome_descriptions,primary_outcome_timeframes,primary_analyses_data,num_p_values_in_primary,all_p_values_primary,all_param_values_primary,all_ci_data_primary,baseline_participants
NCT01342042,"The Safety,Preliminary Pharmacodynamics and Pharmacokinetics Study of rExenatide-4 in Chinese Type 2 Diabetes Mellitus","The Safety, Preliminary Pharmacodynamics and Pharmacokinetics Study of rExenatide-4 in Chinese T2DM",UNKNOWN,2011-03,2011-12,2011-12,PHASE2,36.0,INTERVENTIONAL,RANDOMIZED,PARALLEL,TREATMENT,NONE,Type 2 Diabetes,BIOLOGICAL,rExenatide-4,"CSPC ZhongQi Pharmaceutical Technology Co., Ltd.",INDUSTRY,False,0,0,0,,,,,0,,,,
NCT03940183,Clinical Trial of Trelagliptin Succinate Tablets in the Treatment of Type 2 Diabetes,"A Multicenter, Randomized, Double-blind, Placebo-controlled Clinical Trial of Trelagliptin Succinate Monotherapy for Type 2 Diabetes",COMPLETED,2019-07-08,2020-12-28,2020-12-03,PHASE3,254.0,INTERVENTIONAL,RANDOMIZED,PARALLEL,TREATMENT,QUADRUPLE,"Diabetes Mellitus, Type 2","DRUG, DRUG","Trelagliptin Succinate, Placebo Oral Tablet","CSPC ZhongQi Pharmaceutical Technology Co., Ltd.",INDUSTRY,False,0,0,0,,,,,0,,,,
NCT01551381,"Safety, Tolerability, Pharmacokinetics and Pharmacodynamics of EV-077 in Type 2 Diabetic Subjects","Double-blind, Controlled Study in Healthy and Type 2 Diabetic Subjects to Assess Safety, Tolerability and Pharmacokinetics of 28 Days EV-077 Treatment, and the Effects on Platelet Function, Vascular Inflammation and Oxidative Stress.",TERMINATED,2012-01,2012-05,2012-05,PHASE2,33.0,INTERVENTIONAL,RANDOMIZED,PARALLEL,TREATMENT,DOUBLE,Type 2 Diabetes,"DRUG, DRUG","EV-077, Placebo",Evolva SA,INDUSTRY,False,0,0,0,,,,,0,,,,
NCT02831361,Trial to Evaluate the Efficacy and Safety of Gemigliptin Compared With Placebo Added on Insulin Alone or on Insulin in Combination With Metformin in Type 2 DM (ZEUS II Study),"A Multinational, Multicenter, Randomized, Placebo-controlled, Parallel Group, Double-Blind, Phase 3 Trial to Evaluate the Efficacy and Safety of Gemigliptin 50 mg q.d Compared With Placebo Added to Subjects With Type 2 Diabetes Who Have Inadequate Glycemic Control on Insulin Alone or on Insulin in Combination With Metformin",COMPLETED,2016-10-17,2018-02-08,2018-02-08,PHASE3,290.0,INTERVENTIONAL,RANDOMIZED,PARALLEL,TREATMENT,DOUBLE,Type 2 Diabetes Mellitus,"DRUG, DRUG, DRUG, PROCEDURE","Gemigliptin, Gemigliptin placebo, Metformin, Diet/exercise questionnaire",LG Life Sciences,INDUSTRY,False,0,0,0,,,,,0,,,,
NCT00813995,A Study to Test the Safety and Efficacy of Adding Sitagliptin in Patients With Type 2 Diabetes Mellitus (MK0431-074),"A Phase III, Multicenter, Double-Blind, Placebo-Controlled, Randomized Study to Evaluate the Safety and Efficacy of the Addition of Sitagliptin 100 mg Once Daily in Patients With Type 2 Diabetes With Inadequate Glycemic Control on Metformin Monotherapy",COMPLETED,2008-12-09,2010-08-09,2010-08-09,PHASE3,395.0,INTERVENTIONAL,RANDOMIZED,PARALLEL,TREATMENT,DOUBLE,Type 2 Diabetes Mellitus,"DRUG, DRUG","Comparator: Sitagliptin phosphate, Comparator: Placebo",Merck Sharp & Dohme LLC,INDUSTRY,True,5,1,4,Change From Baseline in Hemoglobin A1c (A1C) at Week 24,"A1C is measured as percent. Thus, this change from baseline reflects the Week 24 A1C percent minus the Week 0 A1C percent.",Baseline and Week 24,"[{""groupIds"": [""OG000"", ""OG001""], ""nonInferiorityType"": ""SUPERIORITY_OR_OTHER"", ""pValue"": ""<.001"", ""pValueComment"": ""Pairwise comparison"", ""statisticalMethod"": ""ANCOVA"", ""ciPctValue"": ""95""}]",1,<.001,,,790.0
NCT04628481,A Study of Oral Ladarixin in Recent Onset Type 1 Diabetes and a Low Residual β-cell Function,"Phase 2, Multicenter, Randomized, Double-blind, Placebo-controlled Study to Assess Effect and Safety of 400 mg Twice a Day Oral Ladarixin in Patients With Recent Onset Type 1 Diabetes and Low Residual β-cell Function at Baseline (GLADIATOR)",ACTIVE_NOT_RECRUITING,2021-01-12,2026-04,2025-03-31,PHASE2,140.0,INTERVENTIONAL,RANDOMIZED,PARALLEL,TREATMENT,QUADRUPLE,Recent Onset type1 Diabetes,"DRUG, DRUG","Ladarixin, Placebo",Dompé Farmaceutici S.p.A,INDUSTRY,False,0,0,0,,,,,0,,,,
NCT02148250,PK/PD Study of U-500 Regular Insulin,Duration of Action and Peak Effect of High Dose of U-500 Regular Insulin In Severly Insulin Resistant Subjects With Type 2 Diabetes Mellitus,COMPLETED,2015-07,2017-12,2017-12,PHASE2,17.0,INTERVENTIONAL,RANDOMIZED,CROSSOVER,TREATMENT,DOUBLE,"Type 2 Diabetes, Insulin Resistance, High Insulin Requirements","DRUG, DRUG","U-500 insulin, 100 syringe units, U-500 insulin, 200 syringe units",University of Minnesota,OTHER,True,5,1,4,Duration (in Hours) of 20 % Dextrose Infusion Requirement,,24 hours post insulin injection,,0,,,,12.0
NCT01885260,"Safety, Tolerability and Efficacy of ISIS-GCGRRx in Type 2 Diabetes","A Double Blind, Placebo-Controlled, Phase 2 Study to Assess the Safety, Tolerability and Efficacy of ISIS 449884 Administered Once Weekly to Patients With Type 2 Diabetes Mellitus Being Treated With Metformin",COMPLETED,2013-07,2014-11,2014-05,PHASE2,77.0,INTERVENTIONAL,RANDOMIZED,PARALLEL,TREATMENT,TRIPLE,Type 2 Diabetes Mellitus,"DRUG, DRUG, DRUG","ISIS-GCGRRx - Dose Level 1, ISIS-GCGRRx - Dose Level 2, Placebo","Ionis Pharmaceuticals, Inc.",INDUSTRY,False,0,0,0,,,,,0,,,,
NCT05098327,Pioglitazone and Insulin Resistance in ADT,Role of Pioglitazone Therapy in Management of Insulin Resistance Associated With Androgen Deprivation Therapy (ADT) in Patients With Prostate Cancer,WITHDRAWN,2021-08-01,2023-03-31,2023-03-31,PHASE3,0.0,INTERVENTIONAL,RANDOMIZED,PARALLEL,TREATMENT,SINGLE,"Prostate Cancer, Insulin Resistance, Diabetes Mellitus, Type 2, Androgen Deficiency","DRUG, DRUG","Pioglitazone 30 mg, Placebo",State University of New York at Buffalo,OTHER,False,0,0,0,,,,,0,,,,
NCT06235086,A Study of TG103 Injection Combined With Metformin in Treatment of Type 2 Diabetes Mellitus,"A Multicenter, Randomized, Open-label, Controlled Phase 3 Trial of TG103 Injection in Combination With Metformin in Subjects With Type 2 Diabetes Mellitus",ACTIVE_NOT_RECRUITING,2024-04-08,2026-11-30,2026-03-30,PHASE3,632.0,INTERVENTIONAL,RANDOMIZED,PARALLEL,TREATMENT,QUADRUPLE,Type 2 Diabetes Mellitus,"DRUG, DRUG","TG103, Dulaglutide","CSPC Baike (Shandong) Biopharmaceutical Co., Ltd.",INDUSTRY,False,0,0,0,,,,,0,,,,
NCT00762190,Study of TAK-559 in Treating Subjects With Type 2 Diabetes Mellitus,"A Multicenter, Double-Blind, Placebo-Controlled, Randomized Study of the Safety of TAK-559 in the Treatment of Patients With Type 2 Diabetes Mellitus",TERMINATED,2003-11,2004-12,2004-12,PHASE3,348.0,INTERVENTIONAL,RANDOMIZED,PARALLEL,TREATMENT,QUADRUPLE,Diabetes Mellitus,"DRUG, DRUG","TAK-559 and insulin, Insulin",Takeda,INDUSTRY,False,0,0,0,,,,,0,,,,
NCT02111096,A Study of LY2409021 in Participants With Type 2 Diabetes Mellitus,"A Phase 2, Double-Blind, Placebo-Controlled Trial to Evaluate the Safety and Efficacy of LY2409021 Compared to Sitagliptin in Subjects With Type 2 Diabetes Mellitus",TERMINATED,2014-04,2015-09,2015-09,PHASE2,174.0,INTERVENTIONAL,RANDOMIZED,PARALLEL,BASIC_SCIENCE,TRIPLE,"Diabetes Mellitus, Type 2","DRUG, DRUG, DRUG, DRUG, DRUG","LY2409021, Sitagliptin, Placebo, Metformin, Sulfonylurea",Eli Lilly and Company,INDUSTRY,True,15,1,14,Change From Baseline to 6 Months in Hepatic Fat Fraction,"The hepatic fat fraction (HFF) was calculated by a core imaging laboratory from noncontrast magnetic resonance imaging (MRI) of the liver. Least Squares (LS) means were calculated using mixed model repeated measures (MMRM) adjusting for treatment, country, baseline HbA1c stratum (\<=8.0%, \>8.0%), visit, baseline score, and treatment-by-visit.","Baseline, 6 months",,0,,,,348.0
NCT04994288,A Study of Efficacy and Safety of Supaglutide in Type 2 Diabetes Patients(SUPER-1),"Efficacy and Safety of Once-weekly Supaglutide Versus Placebo in Patients With Type 2 Diabetes Suboptimally Controlled on Diet and Exercise: A Multicenter, Randomized, Double-blind, Placebo-controlled Clinical Trial",COMPLETED,2021-08-03,2023-08-16,2023-06-20,PHASE2,547.0,INTERVENTIONAL,RANDOMIZED,PARALLEL,TREATMENT,DOUBLE,Type2 Diabetes,"BIOLOGICAL, OTHER","Supaglutide injection, placebo injection","Shanghai Yinnuo Pharmaceutical Technology Co., Ltd.",OTHER,False,0,0,0,,,,,0,,,,
NCT00203632,Glitazones and Endothelial Function (GATE),A Trial of the Effect of Rosiglitazone as Add on to Metformin Therapy on Endothelial Function in Subjects With Type II DM,TERMINATED,2003-09,2007-10,,PHASE3,40.0,INTERVENTIONAL,RANDOMIZED,PARALLEL,TREATMENT,QUADRUPLE,Diabetes Mellitus,DRUG,rosiglitazone/placebo,University of Calgary,OTHER,False,0,0,0,,,,,0,,,,
NCT00506298,Study of CRx-401 on Glucose Levels in Subjects With Type II Diabetes,"A Randomized, Multi-Center Study to Compare the Effects of CRx-401 to Bezafibrate Plus Placebo on Plasma Glucose Levels When Given to Subjects With Type II Diabetes on Metformin.",COMPLETED,2007-07,2009-05,2009-04,PHASE2,150.0,INTERVENTIONAL,RANDOMIZED,PARALLEL,TREATMENT,DOUBLE,Type 2 Diabetes,"DRUG, DRUG","bezafibrate + diflunisal, bezafibrate + placebo",Zalicus,INDUSTRY,False,0,0,0,,,,,0,,,,
NCT04510493,Canakinumab in Patients With COVID-19 and Type 2 Diabetes,Canakinumab in Patients With COVID-19 and Type 2 Diabetes - CanCovDia Trial,COMPLETED,2020-10-23,2021-08-17,2021-08-17,PHASE3,116.0,INTERVENTIONAL,RANDOMIZED,PARALLEL,TREATMENT,DOUBLE,"Coronavirus Infection, Diabetes Mellitus, Type 2","DRUG, DRUG","Canakinumab, Placebo","University Hospital, Basel, Switzerland",OTHER,False,0,0,0,,,,,0,,,,
NCT00952445,A Safety and Efficacy Study of T0903131 (INT131) Besylate to Treat Type 2 Diabetes Mellitus,"A Randomized, Double-Blind, Placebo-Controlled, 4-week Study to Evaluate the Safety and Efficacy of T0903131 Besylate in Subjects With Type 2 Diabetes Mellitus",COMPLETED,2003-12,2004-06,,PHASE2,70.0,INTERVENTIONAL,RANDOMIZED,PARALLEL,TREATMENT,QUADRUPLE,"Diabetes Mellitus, Type II","DRUG, DRUG","T0903131 Besylate, Placebo","InteKrin Therapeutics, Inc.",INDUSTRY,False,0,0,0,,,,,0,,,,
NCT01221467,Closing the Loop in Youth With Type 1 Diabetes in the Home Setting,"An Open-label, Single-centre, Randomised, 2-period Cross-over Study to Assess the Efficacy, Safety and Utility of Real-time Continuous Subcutaneous Glucose Monitoring Combined With Overnight Closed-loop Glucose Control in the Home Setting in Comparison With Real-time Continuous Subcutaneous Glucose Monitoring Alone in Adolescents With Type 1 Diabetes on Subcutaneous Insulin Infusion Pump Therapy.",COMPLETED,2012-06,2013-03,2013-03,PHASE2,17.0,INTERVENTIONAL,RANDOMIZED,CROSSOVER,TREATMENT,NONE,Type 1 Diabetes,DEVICE,Overnight closed-loop,University of Cambridge,OTHER,False,0,0,0,,,,,0,,,,
NCT00791128,Study for Pre-Surgical Weight Loss in Type II Diabetes Patients,"A Phase II Single-Center, Prospective, Open Label Study of Safety and Efficacy, of the GI Sleeve for Pre-Surgical Weight Loss, in Type II Diabetes Patients (Cohort 06-6B Only)",COMPLETED,2008-10,2010-12,2010-03,PHASE2,22.0,INTERVENTIONAL,NA,SINGLE_GROUP,TREATMENT,NONE,"Type 2 Diabetes, Obesity",DEVICE,GI Liner,Morphic Medical Inc.,INDUSTRY,True,2,1,1,% of Excess Weight Loss (EWL),"Percent excess weight loss (EWL) was calculated using Body Mass Index (BMI25) method: BMI25=ideal weight in kg/(height in meters)2 Ideal weight in kg = 25 x (Height in meters2) Baseline Excess weight = total weight - ideal weight

% EWL = (baseline excess weight - weight loss) x 100",12 months,,0,,,,22.0
NCT00949221,Study of Insulin Therapy Augmented by Real Time Sensor IN Type 1 Children and Adolescents (START-IN!),"Evaluation of Long-term Efficacy of 2 Strategies of Real Time Continuous Glucose Monitoring, Compared to Self BG-monitoring in Children and Adolescent With Type 1 Diabetes: a Randomized, Multicenter, Open Trial",COMPLETED,2009-09,2012-07,2012-07,PHASE2,150.0,INTERVENTIONAL,RANDOMIZED,PARALLEL,TREATMENT,NONE,Type 1 Diabetes,DEVICE,"monitor Paradigm 754 VEO, MINILINK Real Time, Medtronic, CE",Assistance Publique - Hôpitaux de Paris,OTHER,False,0,0,0,,,,,0,,,,
NCT01272193,Comparison of NN5401 With Insulin Glargine in Insulin Naive Subjects With Type 2 Diabetes,A Trial Comparing Efficacy and Safety of Insulin Degludec/Insulin Aspart With Insulin Glargine in Insulin Naive Subjects With Type 2 Diabetes (BOOST™: JAPAN),COMPLETED,2011-01,2011-09,2011-09,PHASE3,296.0,INTERVENTIONAL,RANDOMIZED,PARALLEL,TREATMENT,NONE,"Diabetes, Diabetes Mellitus, Type 2","DRUG, DRUG","insulin degludec/insulin aspart, insulin glargine",Novo Nordisk A/S,INDUSTRY,True,6,1,5,Change in Glycosylated Haemoglobin (HbA1c),Observed change from baseline in HbA1c after 26 weeks of treatment,"Week 0, Week 26",,0,,,,592.0
NCT00972244,Trial to Evaluate the Efficacy and Safety of Dapagliflozin in Japanese Type 2 Diabetes Mellitus Patients,"A Multicenter, Randomized, Double-blind, Placebo-controlled, Parallel Group, Phase 2 Trial to Evaluate the Efficacy and Safety of Dapagliflozin as Monotherapy in Japanese Subjects With Type 2 Diabetes Mellitus Who Have Inadequate Glycemic Control",COMPLETED,2009-08,2010-05,2010-05,PHASE2,417.0,INTERVENTIONAL,RANDOMIZED,PARALLEL,TREATMENT,TRIPLE,Type 2 Diabetes Mellitus,"DRUG, DRUG","Dapagliflozin, Placebo",AstraZeneca,INDUSTRY,True,3,1,2,Adjusted Mean Change in HbA1c Levels,"The primary efficacy endpoint is the absolute change in HbA1c from baseline to Week 12 or the last post-baseline measurement prior to Week 12, if no Week 12 assessment is available.",Baseline to Week 12,"[{""groupIds"": [""OG000"", ""OG004""], ""groupDescription"": ""The null hypothesis is given as H0: mean(treat) minus mean(placebo) = 0 versus HA: mean(treat) minus mean(placebo) =/= 0 (with alpha = 0.015 applying Dunnett's adjustment, two-sided)"", ""testedNonInferiority"": false, ""nonInferiorityType"": ""SUPERIORITY_OR_OTHER"", ""pValue"": ""<0.0001"", ""pValueComment"": ""significant at alpha=0.015 (2-sided) applying Dunnett's adjustment. A sequential closed testing procedure was used to control Type I error rate across the primary and key secondary endpoints."", ""statisticalMethod"": ""ANCOVA"", ""statisticalComment"": ""with treatment group (all treatment groups included) as fixed effect and baseline value as covariate."", ""paramType"": ""Mean Difference (Final Values)"", ""paramValue"": ""-0.47"", ""ciPctValue"": ""95"", ""ciNumSides"": ""TWO_SIDED"", ""ciLowerLimit"": ""-0.67"", ""ciUpperLimit"": ""-0.28"", ""dispersionType"": ""STANDARD_ERROR_OF_MEAN"", ""dispersionValue"": ""0.0987""}, {""groupIds"": [""OG001"", ""OG004""], ""groupDescription"": ""The null hypothesis is given as H0: mean(treat) minus mean(placebo) = 0 versus HA: mean(treat) minus mean(placebo) =/= 0 (with alpha = 0.015 applying Dunnett's adjustment, two-sided)"", ""testedNonInferiority"": false, ""nonInferiorityType"": ""SUPERIORITY_OR_OTHER"", ""pValue"": ""<0.0001"", ""pValueComment"": ""significant at alpha=0.015 (2-sided) applying Dunnett's adjustment. A sequential closed testing procedure was used to control Type I error rate across the primary and key secondary endpoints."", ""statisticalMethod"": ""ANCOVA"", ""statisticalComment"": ""with treatment group (all treatment groups included) as fixed effect and baseline value as covariate."", ""paramType"": ""Mean Difference (Final Values)"", ""paramValue"": ""-0.45"", ""ciPctValue"": ""95"", ""ciNumSides"": ""TWO_SIDED"", ""ciLowerLimit"": ""-0.65"", ""ciUpperLimit"": ""-0.26"", ""dispersionType"": ""STANDARD_ERROR_OF_MEAN"", ""dispersionValue"": ""0.1009""}, {""groupIds"": [""OG002"", ""OG004""], ""groupDescription"": ""The null hypothesis is given as H0: mean(treat) minus mean(placebo) = 0 versus HA: mean(treat) minus mean(placebo) =/= 0 (with alpha = 0.015 applying Dunnett's adjustment, two-sided)"", ""testedNonInferiority"": false, ""nonInferiorityType"": ""SUPERIORITY_OR_OTHER"", ""pValue"": ""<0.0001"", ""pValueComment"": ""significant at alpha=0.015 (2-sided) applying Dunnett's adjustment. A sequential closed testing procedure was used to control Type I error rate across the primary and key secondary endpoints."", ""statisticalMethod"": ""ANCOVA"", ""statisticalComment"": ""with treatment group (all treatment groups included) as fixed effect and baseline value as covariate."", ""paramType"": ""Mean Difference (Final Values)"", ""paramValue"": ""-0.72"", ""ciPctValue"": ""95"", ""ciNumSides"": ""TWO_SIDED"", ""ciLowerLimit"": ""-0.92"", ""ciUpperLimit"": ""-0.53"", ""dispersionType"": ""STANDARD_ERROR_OF_MEAN"", ""dispersionValue"": ""0.0990""}, {""groupIds"": [""OG003"", ""OG004""], ""groupDescription"": ""The null hypothesis is given as H0: mean(treat) minus mean(placebo) = 0 versus HA: mean(treat) minus mean(placebo) =/= 0 (with alpha = 0.015 applying Dunnett's adjustment, two-sided)"", ""testedNonInferiority"": false, ""nonInferiorityType"": ""SUPERIORITY_OR_OTHER"", ""pValue"": ""<0.0001"", ""pValueComment"": ""significant at alpha=0.015 (2-sided) applying Dunnett's adjustment. A sequential closed testing procedure was used to control Type I error rate across the primary and key secondary endpoints."", ""statisticalMethod"": ""ANCOVA"", ""statisticalComment"": ""with treatment group (all treatment groups included) as fixed effect and baseline value as covariate."", ""paramType"": ""Mean Difference (Final Values)"", ""paramValue"": ""-0.79"", ""ciPctValue"": ""95"", ""ciNumSides"": ""TWO_SIDED"", ""ciLowerLimit"": ""-0.99"", ""ciUpperLimit"": ""-0.59"", ""dispersionType"": ""STANDARD_ERROR_OF_MEAN"", ""dispersionValue"": ""0.1018""}]",4,"<0.0001, <0.0001, <0.0001, <0.0001","-0.47, -0.45, -0.72, -0.79","[-0.67, -0.28] | [-0.65, -0.26] | [-0.92, -0.53] | [-0.99, -0.59]",558.0
NCT01847092,A Study in CKD Patients With Type 2 Diabetes Mellitus and Albuminuria,"An Exploratory Phase 2, Randomized, Double-blind, Placebo-controlled, Parallel Design Study to Evaluate the Safety, Tolerability, and Pharmacodynamics of AZD1722 in CKD Patients With Type 2 Diabetes Mellitus and Albuminuria",COMPLETED,2013-05,2015-04,2015-03,PHASE2,154.0,INTERVENTIONAL,RANDOMIZED,PARALLEL,TREATMENT,QUADRUPLE,"Chronic Kidney Disease, Type 2 Diabetes Mellitus","DRUG, DRUG","AZD1722, Placebo",Ardelyx,INDUSTRY,True,2,1,1,Changes in Urine Albumin to Creatinine Ratio (UACR),The difference between tenapanor and placebo in the change in UACR from baseline to the end of 12 weeks of treatment,Week 12,"[{""groupIds"": [""OG000"", ""OG001""], ""nonInferiorityType"": ""SUPERIORITY"", ""pValue"": ""0.279"", ""statisticalMethod"": ""Mixed Models Analysis""}]",1,0.279,,,308.0
NCT01590771,A Study in China Evaluating the Safety and Efficacy of Adding Sitagliptin to Stable Therapy With Sulfonylurea With or Without Metformin in Participants With Type 2 Diabetes Mellitus (T2DM) (MK-0431-253),"A Phase III, Multicenter, Randomized, Double-Blind, Placebo-Controlled Clinical Trial in China to Study the Safety and Efficacy of the Addition of Sitagliptin in Patients With Type 2 Diabetes Mellitus Who Have Inadequate Glycemic Control on Sulfonylurea Therapy, Alone or in Combination With Metformin",COMPLETED,2012-07-09,2014-06-24,2014-06-10,PHASE3,498.0,INTERVENTIONAL,RANDOMIZED,PARALLEL,TREATMENT,TRIPLE,Type 2 Diabetes Mellitus,"DRUG, DRUG, DRUG, DRUG, DRUG","Sitagliptin, Placebo, Gliclazide, Glimepiride, Metformin",Merck Sharp & Dohme LLC,INDUSTRY,True,11,3,8,Change From Baseline in A1C Levels at Week 24 in Participants Receiving Sitagliptin and Sulfonylurea Alone or in Combination With Metformin | Number of Participants Who Experienced an Adverse Event | Number of Participants Who Discontinued Study Drug Due to an Adverse Event,A1C was measured as a percent. This change from baseline reflects the A1C percent at Week 24 minus the A1C percent at Week 0. | An adverse event is any untoward medical occurrence in a participant administered study drug which does not necessarily have a causal relationship with the treatment. Adverse events may include the onset of new illness and the exacerbation of pre-existing conditions. | An adverse event is any untoward medical occurrence in a participant administered study drug which does not necessarily have a causal relationship with the treatment. Adverse events may include the onset of new illness and the exacerbation of pre-existing conditions.,Baseline and Week 24 | Up to 26 weeks | Up to 24 weeks,"[{""groupIds"": [""OG000"", ""OG001""], ""nonInferiorityType"": ""SUPERIORITY_OR_OTHER"", ""pValue"": ""<0.001"", ""pValueComment"": ""The ANCOVA model controlled for treatment, metformin strata (on or not on metformin), and baseline A1C value."", ""statisticalMethod"": ""ANCOVA"", ""paramType"": ""Robust regression"", ""paramValue"": ""-0.61"", ""ciPctValue"": ""95"", ""ciNumSides"": ""TWO_SIDED"", ""ciLowerLimit"": ""-0.77"", ""ciUpperLimit"": ""-0.44"", ""estimateComment"": ""Based on robust regression using M-estimation with terms for treatment, metformin strata (on or not on metformin), and baseline A1C value.""}]",1,<0.001,-0.61,"[-0.77, -0.44]",996.0
NCT01984606,Efficacy and Safety of Empagliflozin Versus Sitagliptin in Patients With Type 2 Diabetes,"A Phase IIIb Randomised, Double-blind, Active-controlled, Parallel Group, Efficacy and Safety Study of Once Daily Oral Administration of Empagliflozin 25 mg Compared to Sitagliptin 100 mg During 52 Weeks in Type 2 Diabetes Mellitus Patients Who Are Treatment-naïve or on Treatment With Metformin With Insufficient Glycaemic Control",WITHDRAWN,2015-01,2017-02,2017-02,PHASE3,0.0,INTERVENTIONAL,RANDOMIZED,PARALLEL,TREATMENT,DOUBLE,"Diabetes Mellitus, Type 2","DRUG, DRUG, DRUG, DRUG","Empagliflozin, Placebo, Sitagliptin, Placebo",Boehringer Ingelheim,INDUSTRY,False,0,0,0,,,,,0,,,,
NCT02156843,Pyridorin in Diabetic Nephropathy,"A Phase 3 Randomized, Double-Blind, Placebo-Controlled, Multi-Center Study to Evaluate the Safety and Efficacy of Pyridorin (Pyridoxamine Dihydrochloride) in Subjects With Nephropathy Due to Type 2 Diabetes (PIONEER)",TERMINATED,2014-06,2018-03,2017-12,PHASE3,328.0,INTERVENTIONAL,RANDOMIZED,PARALLEL,TREATMENT,QUADRUPLE,"Diabetic Nephropathy, Diabetic Kidney Disease","DRUG, DRUG","Pyridorin, Placebo","NephroGenex, Inc.",INDUSTRY,False,0,0,0,,,,,0,,,,
NCT01020123,"Evaluate Efficacy, Safety and Tolerability of AZD1656 as Add-on Treatment to Metformin in Type 2 Diabetes Mellitus (TD2M) Patients","A 4-month, Randomized, Double-blind, Placebo- and Active-Controlled, Multi-centre, Parallel-Group Study, With an Optional 2-month Extension, to Evaluate Efficacy, Safety and Tolerability of AZD1656 as Add-on Treatment to Metformin in Type 2 Diabetes Mellitus Patients",COMPLETED,2009-10,2011-02,2011-02,PHASE2,530.0,INTERVENTIONAL,RANDOMIZED,PARALLEL,TREATMENT,DOUBLE,Type II Diabetes Mellitus,"DRUG, DRUG, DRUG","AZD1656, Placebo, Glipizide",AstraZeneca,INDUSTRY,True,30,1,29,HbA1c: Change From Baseline to 4 Month,"AZD1656 is analyzed in a ANCOVA model (Glipized and Open Label is Not Included in the model), FAS Prior to Rescue",Baseline to 4th Month,,0,,,,1060.0
NCT00699790,Proof of Confidence Study of CCR2 Antagonist (BMS-741672) in Insulin Resistance,"A 12-Week Randomized, Double-Blinded Study to Evaluate the Effects of Daily Oral Doses of BMS-741672 in Drug-Naive Type 2 Diabetic Patients",COMPLETED,2009-02,2009-12,2009-12,PHASE2,58.0,INTERVENTIONAL,RANDOMIZED,PARALLEL,TREATMENT,DOUBLE,Type 2 Diabetes,"DRUG, DRUG","CCR2 Antagonist, Placebo",Bristol-Myers Squibb,INDUSTRY,False,0,0,0,,,,,0,,,,
NCT01619059,Safety and Efficacy of Saxagliptin in Triple Therapy to Treat Subjects With Type 2 Diabetes,"A Multicenter, Randomized, Double-Blind, Placebo Controlled, Parallel Group, Phase 3 Trial to Evaluate the Safety and Efficacy of Triple Therapy With Saxagliptin Added to Dapagliflozin in Combination With Metformin Compared to Therapy With Placebo Added to Dapagliflozin in Combination With Metformin in Subjects With Type 2 Diabetes Who Have Inadequate Glycemic Control on Metformin and Dapagliflozin",COMPLETED,2012-06,2015-01,2014-06,PHASE3,315.0,INTERVENTIONAL,RANDOMIZED,PARALLEL,TREATMENT,TRIPLE,Type 2 Diabetes,"DRUG, DRUG, DRUG, DRUG","Saxagliptin, Dapagliflozin, Metformin IR, Placebo matching with Saxagliptin",AstraZeneca,INDUSTRY,True,4,1,3,Adjusted Mean Change From Baseline in Hemoglobin A1C (HbA1c) at Week 24,"HbA1c was measured as percent of hemoglobin by a central laboratory. Baseline was defined as the last assessment on or prior to the date of the first dose of the double-blind study medication. HbA1c measurements were obtained at Week 24 in the double-blind period, including observations prior to rescue.",From Baseline to Week 24,"[{""groupIds"": [""OG000"", ""OG001""], ""testedNonInferiority"": false, ""nonInferiorityType"": ""SUPERIORITY_OR_OTHER"", ""pValue"": ""<0.0001"", ""pValueComment"": ""Tested at alpha=0.05"", ""statisticalMethod"": ""Mixed Models Analysis"", ""paramType"": ""Mean Difference (Final Values)"", ""paramValue"": ""-0.35"", ""ciPctValue"": ""95"", ""ciNumSides"": ""TWO_SIDED"", ""ciLowerLimit"": ""-0.52"", ""ciUpperLimit"": ""-0.18"", ""dispersionType"": ""STANDARD_ERROR_OF_MEAN"", ""dispersionValue"": ""0.0870""}]",1,<0.0001,-0.35,"[-0.52, -0.18]",630.0
NCT00110435,A Multicenter Study to Evaluate the Cholesterol Lowering Effects of Two Marketed Products in Patients With Type 2 Diabetes Mellitus and Hypercholesterolemia (MK-0653A-077),"A Multicenter, Randomized, Double-blind, Parallel Group, 6-Week Study to Evaluate the Efficacy and Safety of Ezetimibe/Simvastatin Combination Tablet Versus Atorvastatin in Patients With Type 2 Diabetes Mellitus (T2DM) and Hypercholesterolemia",COMPLETED,2005-05,2005-12,2005-12,PHASE3,1229.0,INTERVENTIONAL,RANDOMIZED,PARALLEL,TREATMENT,DOUBLE,"Type 2 Diabetes Mellitus, Hypercholesterolemia","DRUG, DRUG, DRUG","MK0653A, ezetimibe (+) simvastatin, Duration of Treatment: 4 wk placebo run in then 6 wk active, Comparator: atorvastatin",Organon and Co,INDUSTRY,False,0,0,0,,,,,0,,,,
